Year,FIPS,Income
2019,51125,53178.0
2019,51127,81637.0
2019,51131,53961.0
2019,51133,56461.0
2019,51135,34418.0
2019,51137,52422.0
2019,51139,39316.0
2019,51141,33442.0
2019,51145,60321.0
2019,51147,33237.0
2019,51155,39462.0
2019,51157,67515.0
2019,51159,37734.0
2019,51167,34322.0
2019,51169,33595.0
2019,51171,46093.0
2019,51173,37261.0
2019,51179,55794.0
2019,51181,42805.0
2019,51183,31982.0
2019,51185,37642.0
2019,51187,47221.0
2019,51193,44487.0
2019,51197,36159.0
2019,51510,87841.0
2019,51550,49481.0
2019,51650,41619.0
2019,51700,39921.0
2019,51710,39722.0
2019,51740,39852.0
2019,51760,56661.0
2019,51770,41789.0
2019,51800,51596.0
2019,51810,56348.0
2019,51901,75666.0
2019,51903,38929.0
2019,51907,44736.0
2019,51911,38030.0
2019,51913,36447.0
2019,51918,39064.0
2019,51919,85499.0
2019,51921,51932.0
2019,51923,31405.0
2019,51929,38408.0
2019,51931,63928.0
2019,51933,37871.0
2019,51939,37261.0
2019,51941,35290.0
2019,51942,55297.0
2019,51944,50582.0
2019,51945,40769.0
2019,51947,40536.0
2019,51949,41998.0
2019,51951,52041.0
2019,51953,40192.0
2019,51955,33793.0
2019,51958,59099.0
2020,51001,50924.0
2020,51007,46030.0
2020,51009,40998.0
2020,51011,41929.0
2020,51013,97751.0
2020,51017,69736.0
