Year,County,Income
2020,51197,39530
2021,51197,43121
2022,51197,44566
2008,51958,48277
2009,51958,47432
2010,51958,49018
2011,51958,50424
2012,51958,51311
2013,51958,51450
2014,51958,52982
2015,51958,53567
2016,51958,54890
2017,51958,56005
2018,51958,57077
2019,51958,59099
2020,51958,61149
2021,51958,65791
2022,51958,67917
